content_id,title,description,subject,level,content_duration,language
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding","Forex Trading Secrets |MT4 Robot (EA) inside, no coding",Business Finance,All Levels,0.6833333333333333,en
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Business Finance,Beginner Level,2.5,en
151668,Introduction to Financial Modeling,Introduction to Financial Modeling,Business Finance,Intermediate Level,1.5,en
1105344,Quantitative Aptitude for Banking & Competitive Examinations,Quantitative Aptitude for Banking & Competitive Examinations,Business Finance,All Levels,3.0,en
44836,Option Spreads and Credit Spreads Bundle,Option Spreads and Credit Spreads Bundle,Business Finance,Expert Level,4.5,en
840300,B Com Accountancy I (Paper ECO 02 IGNOU),B Com Accountancy I (Paper ECO 02 IGNOU),Business Finance,All Levels,31.5,en
1100054,FOREX TRADING - Learn in a quick + profitable way + support,FOREX TRADING - Learn in a quick + profitable way + support,Business Finance,All Levels,3.5,en
421054,Auditing Basics (Professional Course Level),Auditing Basics (Professional Course Level),Business Finance,All Levels,2.5,en
528784,Stock market Investing Encyclopedia: How to invest in stocks,Stock market Investing Encyclopedia: How to invest in stocks,Business Finance,Intermediate Level,3.0,en
637430,Learn the basics of preparing accounting statements,Learn the basics of preparing accounting statements,Business Finance,Intermediate Level,0.55,en
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,Elliott Wave -Forex Trading With The Elliott Wave Theory,Business Finance,Expert Level,1.0,en
777444,Corporate Finance - A Brief Introduction,Corporate Finance - A Brief Introduction,Business Finance,Beginner Level,1.5,en
474238,Excel functions to analyze and visualize data,Excel functions to analyze and visualize data,Business Finance,Intermediate Level,2.0,en
1245244,Building Financial Statements in Excel,Building Financial Statements in Excel,Business Finance,Beginner Level,1.0,en
1051570,Transfer Pricing A Complete Analysis,Transfer Pricing A Complete Analysis,Business Finance,All Levels,2.5,en
262370,Accounting: Get Hired Without Work Experience,Accounting: Get Hired Without Work Experience,Business Finance,All Levels,1.0,en
1188178,Forex Trading for Beginners - Basics,Forex Trading for Beginners - Basics,Business Finance,All Levels,1.0,en
824592,Basic Bookkeeping Hacks,Basic Bookkeeping Hacks,Business Finance,All Levels,1.5,en
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),Complete Trading Plan Course for Stocks & Forex (10 Hours),Business Finance,All Levels,9.5,en
1243448,"Forex Trading with Fixed 'Risk through Options Trading""","Forex Trading with Fixed 'Risk through Options Trading""",Business Finance,Beginner Level,1.0,en
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book","Intro to Investment Banking, M&A, IPO, Modeling + Free Book",Business Finance,All Levels,20.0,en
252396,How to Pick The Right Penny Stocks To Invest In 2017,How to Pick The Right Penny Stocks To Invest In 2017,Business Finance,All Levels,2.5,en
1198166,Top 10 Trading Ideas in the Equities Market,Top 10 Trading Ideas in the Equities Market,Business Finance,All Levels,1.0,en
920604,Intro to Financial Modeling,Intro to Financial Modeling,Business Finance,Beginner Level,6.0,en
215728,Shark Accounting - Building a Business by the Numbers!,Shark Accounting - Building a Business by the Numbers!,Business Finance,Beginner Level,1.5,en
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,Forex Trading MAKE YOUR FIRST TRADE TODAY!,Business Finance,All Levels,4.0,en
48841,Accounting in 60 Minutes - A Brief Introduction,Accounting in 60 Minutes - A Brief Introduction,Business Finance,Beginner Level,1.5,en
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,SAP FICO For Beginners - A Guide to SAP Financial Accounts,Business Finance,Beginner Level,5.0,en
317030,Learn how to double your Forex Trading Account in one trade,Learn how to double your Forex Trading Account in one trade,Business Finance,Intermediate Level,2.5,en
891490,"Accounting Superpowers: Learn Accounts, Understand Business!","Accounting Superpowers: Learn Accounts, Understand Business!",Business Finance,Beginner Level,2.5,en
1070886,Python Algo Trading: FX Trading with Oanda,Python Algo Trading: FX Trading with Oanda,Business Finance,Intermediate Level,3.0,en
812616,Save on Your Taxes,Save on Your Taxes,Business Finance,All Levels,1.5,en
407984,Financial Model Basics: Build a model from start to finish,Financial Model Basics: Build a model from start to finish,Business Finance,Beginner Level,1.0,en
214046,Option Trading for Rookies: The Covered Call Option Strategy,Option Trading for Rookies: The Covered Call Option Strategy,Business Finance,Beginner Level,1.5,en
512400,EFT for Stock Options Trading Success & Making Better Trades,EFT for Stock Options Trading Success & Making Better Trades,Business Finance,All Levels,1.5,en
377370,Learn to Trade the Stock Market without Blowing Your Profits,Learn to Trade the Stock Market without Blowing Your Profits,Business Finance,All Levels,1.0,en
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,Get a Credit Repair Publication On Amazon and Live LIFE..,Business Finance,Beginner Level,3.0,en
945750,Fundamentals of Accounting,Fundamentals of Accounting,Business Finance,All Levels,3.0,en
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)","RSI, Options Trading & Technical Analysis (3 Course Bundle)",Business Finance,All Levels,3.5,en
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Business Finance,Intermediate Level,1.0,en
402836,Accounting 101: How to read an Accounting Balance Sheet,Accounting 101: How to read an Accounting Balance Sheet,Business Finance,Beginner Level,2.0,en
588764,Stock Options Day Trading Mindset for Success,Stock Options Day Trading Mindset for Success,Business Finance,All Levels,4.5,en
576946,Introduction to bookkeeping and Accounting,Introduction to bookkeeping and Accounting,Business Finance,Beginner Level,1.0,en
543242,Learn to Trade The News,Learn to Trade The News,Business Finance,All Levels,46.5,en
502240,"Value Investing, Taught by Six Superinvestors","Value Investing, Taught by Six Superinvestors",Business Finance,All Levels,5.0,en
598266,Trading for everyone - The Independent Investor Course I,Trading for everyone - The Independent Investor Course I,Business Finance,Beginner Level,4.0,en
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,Get Acquired: Learn From The Head Of Acquisitions For eBay,Business Finance,All Levels,2.5,en
1076920,Stock Market investment: Practical Accounting,Stock Market investment: Practical Accounting,Business Finance,Beginner Level,3.0,en
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""","How to remove 'Risk from Penny Stocks - Options Trading""",Business Finance,All Levels,1.0,en
441112,Accounting Basics in 66 Minutes (absolutely for beginners),Accounting Basics in 66 Minutes (absolutely for beginners),Business Finance,All Levels,1.5,en
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand","Tax Accounting: Difficult Topic, Made Easy to Understand",Business Finance,All Levels,2.0,en
1028030,Analysis of Company Financial Statements,Analysis of Company Financial Statements,Business Finance,All Levels,1.5,en
1018380,Forex Trading Like Banks – Step by Step with Live Examples,Forex Trading Like Banks – Step by Step with Live Examples,Business Finance,All Levels,4.5,en
575676,Fundamentals of Investing!,Fundamentals of Investing!,Business Finance,Beginner Level,2.0,en
1105216,Bank Financial Management A Comprehensive Study,Bank Financial Management A Comprehensive Study,Business Finance,All Levels,1.5,en
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,Learn to Trade Forex and Stocks: From Beginner to Advanced,Business Finance,All Levels,2.0,en
43441,"Master 'Technical Analysis and Chart reading skills Bundle""","Master 'Technical Analysis and Chart reading skills Bundle""",Business Finance,All Levels,3.0,en
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,Naked Put Options Trade Covered Call & Poor Man Covered Call,Business Finance,All Levels,1.5,en
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,The Ultimate Guide to Dividend & Dividend Growth Investing,Business Finance,All Levels,5.5,en
625568,Charting for Beginners 101: Technical Analysis Demystified,Charting for Beginners 101: Technical Analysis Demystified,Business Finance,All Levels,1.5,en
297742,Build a DCF Valuation Model,Build a DCF Valuation Model,Business Finance,All Levels,5.5,en
24877,Introductory Financial Accounting,Introductory Financial Accounting,Business Finance,Beginner Level,10.0,en
1188742,Introduction to Cryptocurrencies and Blockchain,Introduction to Cryptocurrencies and Blockchain,Business Finance,Beginner Level,2.0,en
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,Trade Pullback Candlestick Strategy - Make Consistent Pips,Business Finance,All Levels,3.0,en
415802,Accounting Standards Basics (Professional Course Level),Accounting Standards Basics (Professional Course Level),Business Finance,All Levels,0.7,en
323950,Use the Magic Multiple Moving Average Forex Trading system,Use the Magic Multiple Moving Average Forex Trading system,Business Finance,Intermediate Level,1.0,en
488818,QuickBooks 2015 Training for Newbies,QuickBooks 2015 Training for Newbies,Business Finance,Beginner Level,6.0,en
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,TRADING PSYCHOLOGY: Trading Mindset Mastery,Business Finance,Intermediate Level,1.0,en
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,Option Trading: How to Adjust Delta-Neutral Strangles!,Business Finance,All Levels,1.5,en
599684,Profitable binary option trading strategy,Profitable binary option trading strategy,Business Finance,All Levels,1.5,en
332848,Tax Strategy: Financial Planning for Beginners,Tax Strategy: Financial Planning for Beginners,Business Finance,All Levels,2.0,en
354324,Accounting 2 Simplified for You,Accounting 2 Simplified for You,Business Finance,Beginner Level,5.0,en
379682,Project Funding Modelling (for Professionals),Project Funding Modelling (for Professionals),Business Finance,All Levels,1.5,en
319020,Investing: How I Consistently Beat The Stock Market,Investing: How I Consistently Beat The Stock Market,Business Finance,All Levels,4.5,en
713258,Bookkeeping Basics:  Understand the Fundamentals,Bookkeeping Basics:  Understand the Fundamentals,Business Finance,Beginner Level,4.5,en
537884,Leasing - A Comprehensive Study (Professional Course Level),Leasing - A Comprehensive Study (Professional Course Level),Business Finance,All Levels,3.5,en
919906,Trading Options For Consistent Returns: Options Basics,Trading Options For Consistent Returns: Options Basics,Business Finance,Beginner Level,1.5,en
46010,TechniTrader Leading Hybrid Indicator Trading,TechniTrader Leading Hybrid Indicator Trading,Business Finance,Intermediate Level,1.0,en
777932,Financial modeling: Build a DCF equity valuation model,Financial modeling: Build a DCF equity valuation model,Business Finance,All Levels,1.5,en
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),CryptoArbitrager: Bitcoin Trading Robot (no mining),Business Finance,All Levels,0.55,en
221306,Accounting Is Easy (for Beginners),Accounting Is Easy (for Beginners),Business Finance,All Levels,9.0,en
830994,Non Directional Weekly Options Trading System - ETF & Emini,Non Directional Weekly Options Trading System - ETF & Emini,Business Finance,All Levels,2.0,en
723510,The Complete Position Trading Course: Position Trading Stock,The Complete Position Trading Course: Position Trading Stock,Business Finance,All Levels,1.0,en
42643,Master Iron Condors - Double the credit for half the risk,Master Iron Condors - Double the credit for half the risk,Business Finance,Expert Level,1.0,en
411778,Basics of investing in Mutual Funds,Basics of investing in Mutual Funds,Business Finance,Intermediate Level,1.5,en
366514,A Value Investing Approach to the Stock Market,A Value Investing Approach to the Stock Market,Business Finance,All Levels,1.5,en
471588,Learn how to INVEST for huge profits or make it big trading!,Learn how to INVEST for huge profits or make it big trading!,Business Finance,All Levels,5.5,en
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund","How to Fund your Million Dollar Idea: Equity, Debt, Unfund",Business Finance,Intermediate Level,6.0,en
607876,Mastering Candlestick Charting : High Probability Trading,Mastering Candlestick Charting : High Probability Trading,Business Finance,All Levels,2.0,en
249950,Binary Options Course - Level 2,Binary Options Course - Level 2,Business Finance,Intermediate Level,2.0,en
792216,Stock Technical Analysis with R,Stock Technical Analysis with R,Business Finance,All Levels,7.0,en
45139,"Get to know the VIX Index (aka 'The Fear Index)""","Get to know the VIX Index (aka 'The Fear Index)""",Business Finance,All Levels,1.0,en
692176,Apply finance concepts for smart project management,Apply finance concepts for smart project management,Business Finance,Beginner Level,2.0,en
1224262,Introduction to Futures Trading and Live Trade Demonstration,Introduction to Futures Trading and Live Trade Demonstration,Business Finance,Expert Level,0.7166666666666667,en
598094,Crowdfunding to Win,Crowdfunding to Win,Business Finance,All Levels,1.5,en
40039,Comprehensive Forex Mastery Program,Comprehensive Forex Mastery Program,Business Finance,All Levels,10.0,en
1266148,Preparation of Consolidated Financial Statements (Basic),Preparation of Consolidated Financial Statements (Basic),Business Finance,Intermediate Level,1.5,en
791422,Succeed in Bonds Even if You Don't Know Where to Start,Succeed in Bonds Even if You Don't Know Where to Start,Business Finance,All Levels,1.0,en
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,Learn to Trade for Profit: Ten Most Profitable Trading Rules,Business Finance,All Levels,2.0,en
791436,Succeed in Lotto Even if You Don't Know Where to Start!,Succeed in Lotto Even if You Don't Know Where to Start!,Business Finance,All Levels,1.5,en
537878,CFA Corporate Finance Level 2,CFA Corporate Finance Level 2,Business Finance,All Levels,17.5,en
